DTBA,població,densitat,envelliment,superficie habitatges,renda mitjana
11,3151,14257.9185520362,176.571428571429,124.265810746553,19828.7880532566
12,4002,12826.9230769231,189.6,149.418803418803,24633.2643160127
13,6896,17958.3333333333,165.728900255754,96.9344302554027,15068.9928163265
14,4921,30376.5432098765,131.774193548387,106.484837673921,15535.6023923445
15,3936,22751.4450867052,152.455357142857,110.176146156498,16446.9289180702
16,5857,13341.6856492027,213.909224011713,149.385929871283,22614.2647702407
21,24432,27826.8792710706,157.530402245089,107.600778156048,16289.4174192168
22,7094,18330.7493540052,182.038834951456,175.48665879575,29280.4662612221
23,12039,25669.5095948827,171.215596330275,138.781660054928,21552.1191246594
31,6639,17943.2432432432,160.262529832936,106.243107769424,16243.685663257
32,4726,20458.8744588745,181.495327102804,110.307335190344,16054.7768259693
33,15095,30372.2334004024,165.118483412322,116.153894551403,16508.3603407155
34,22875,26172.7688787185,193.875467846206,120.907672613809,17276.0756912806
41,11595,11759.6348884381,229.986522911051,117.460921144452,15492.3199255781
42,5362,20782.9457364341,237.333333333333,100.704437110378,13108.7572344145
43,4984,53021.2765957447,189.554794520548,83.9483339573193,10044.0929305643
44,17905,4497.61366490831,75.935397039031,122.620785402618,16964.8791242115
51,10930,28025.641025641,212.075471698113,97.6041896361632,12082.8372378613
52,10124,23654.2056074766,202.327514546966,102.615731180777,13511.8675961841
53,7970,13372.4832214765,197.5,97.699356223176,14210.152666754
54,8654,30907.1428571429,143.49376114082,93.4603289791969,11390.9163963964
55,9821,39284.0,173.493044822257,110.813341885824,14035.318606627
61,6853,17939.7905759162,157.490974729242,145.924224343675,23276.3311107744
62,14623,17325.8293838863,151.998141263941,113.10663627153,18203.871881929
63,6451,33774.8691099476,151.378676470588,168.598530394122,22332.047256581
64,2753,9938.62815884477,156.744186046512,124.818119891008,18448.7467248908
71,26527,35895.8051420839,180.801753836517,100.556832791348,12148.5027141016
72,4880,21688.8888888889,182.943143812709,97.5038229376258,11705.9964308209
73,9556,18132.8273244782,149.768518518519,84.8959090909091,9563.05011210762
74,3649,10990.9638554217,108.419243986254,83.2924467398321,8104.87098657326
75,4972,26588.2352941176,203.83275261324,106.618796662275,12910.608997955
81,24313,39151.3687600644,195.356895356895,107.653277476589,13778.0913505437
82,10366,20941.4141414141,138.237490664675,112.585201305767,12091.6429233145
83,10041,9535.61253561254,267.883895131086,108.642746400886,13423.7824633835
84,9940,22539.6825396825,128.418230563003,115.749942223249,13841.66
85,3673,13117.8571428571,147.161572052402,102.719328703704,12058.1772464963
91,15555,41480.0,170.572498662386,104.875576627371,12427.356095295
92,16968,39830.985915493,192.520080321285,102.639621898385,11684.7001864437
93,6046,16122.6666666667,186.849315068493,104.403282122905,12485.0567626748
94,10134,30709.0909090909,204.518828451883,92.6817329722974,11032.2736040609
95,3882,2626.52232746955,82.5185185185185,105.795418220565,11061.0253365004
101,19407,41029.5983086681,180.456547857429,102.841991786448,12380.8083582728
102,12063,33140.1098901099,161.624099541585,98.7092598738798,11422.2054958184
103,23229,9265.65616274432,155.716041794714,110.134659666575,12605.9646369916
104,3088,12920.5020920502,152.927400468384,108.072453861928,10040.8958333333
105,7490,13870.3703703704,168.287740628166,96.8983466013472,8888.59865591398
106,3015,485.194721596395,101.937984496124,148.893028206493,12075.0234227427
107,8280,8372.09302325581,81.25,122.402355712603,17774.8514905894
111,9718,13553.6959553696,129.676934635612,102.575521381925,11897.0398515122
112,19252,14271.3120830245,166.48603584827,94.0214687340262,11796.0517408124
113,12925,17705.4794520548,192.504684572142,97.0564633790487,11491.2518895696
114,7834,30721.568627451,173.926701570681,102.781946995539,13326.9426145136
115,6168,6726.28135223555,120.186335403727,96.2083333333333,9344.39246678998
121,24604,37794.1628264209,162.931869551179,97.315124989479,12069.9672715221
122,8911,34808.59375,184.377923292797,105.483224400871,13234.930990041
123,14851,37885.2040816326,149.409347714432,94.0617717253966,11426.8633393577
124,4557,29025.4777070064,150.64308681672,101.651793525809,13165.4495454545
125,13322,14623.4906695939,68.953488372093,135.726989335521,20382.7840371888
131,8410,36250.0,219.398340248963,101.96496663489,13178.7345679012
132,11674,32071.4285714286,295.614035087719,109.284203102962,15609.9754091263
133,7014,33884.0579710145,220.33462033462,99.3397164884357,13025.8414401176
134,5424,27958.7628865979,230.150753768844,122.381773399015,17497.0872720506
135,3297,1664.3109540636,264.37908496732,124.347046413502,18596.3599755949
141,23050,31022.8802153432,199.149722735675,104.007039529667,14756.4708013075
142,5267,5852.22222222222,219.18505942275,121.035313001605,15084.0745903183
151,17092,43052.8967254408,118.956043956044,86.4027486910995,9155.56134432784
152,26255,37507.1428571429,147.412122889565,97.9508506616257,10371.9751470531
153,11258,7358.16993464052,69.0331620737973,123.602485737571,17012.8044497564
161,42725,24854.5666084933,120.193786527222,104.176911544228,11875.3386334548
162,5981,11914.3426294821,142.909535452323,88.6443159922929,8974.36618004866
171,986,692.902319044273,179.527559055118,173.936210131332,12512.0
172,942,322.602739726027,188.135593220339,175.419222903885,10958.0
173,1196,528.268551236749,243.382352941176,174.693086003373,13112.0
174,363,284.259984338293,263.333333333333,149.379746835443,12512.0
175,56,52.3854069223573,233.333333333333,184.647887323944,12512.0
176,2589,924.312745448054,88.8421052631579,196.894869638352,17671.0
177,743,523.977433004231,147.413793103448,182.239608801956,11668.0
181,13559,8873.69109947644,138.058151609553,114.579794573049,10836.076831489
182,1199,2518.90756302521,87.4439461883408,177.864440078585,13604.0
191,1320,1108.31234256927,157.377049180328,130.807692307692,10363.0
192,6790,2275.4691689008,169.631236442516,142.854322464852,11656.5601011604
193,2616,401.534919416731,173.521126760563,133.794162826421,12915.0015822785
194,1930,234.052874120786,118.181818181818,117.756874095514,16614.0
195,749,244.931327665141,238.297872340426,156.457142857143,12199.0
196,1475,298.582995951417,149.49494949495,109.276292725679,15831.0
197,4969,11691.7647058824,159.555555555556,101.706330128205,10259.5219186785
198,1668,340.199877625943,43.4782608695652,142.720043572985,10703.0
